id,run_date,run_type,scope,records_added,records_updated,records_flagged,status,next_target,notes
1,2026-06-26,daily_collect,Bootstrap: Union constitutional offices + 8 key ministries + top ministers,24,0,3,completed,"Union: complete remaining Cabinet Ministers + Ministers of State (full Council of Ministers), then ministry Secretaries",Initial seed created by setup. Re-verify Finance Minister (person 6) and pending bodies 7-8 and position 9.
2,2026-06-26,daily_collect,Phase 1: full Modi 3.0 Cabinet (all 31) + 5 Ministers of State (Independent Charge) + 28 ministries,118,3,0,completed,"~36 regular Ministers of State (report to their Cabinet Minister), then ministry Secretaries",Source: Third Modi ministry (Wikipedia) cross-checked with web search. Finance Min confirmed (Sitharaman); pending bodies 7-8 resolved.
3,2026-06-26,daily_collect,"Phase 1 close: 36 regular Ministers of State, each org-charted under their Cabinet Minister",108,0,0,completed,"Phase 2 - Cabinet Secretary, ministry Secretaries, and official ministry contacts","Phase 1 Union political layer complete: 73 ministers + President/VP. All FKs validated, org chart wired."
4,2026-06-26,daily_collect,"Phase 3 breadth: all 31 states/UTs top leadership - 28 Governors, 31 Chief Ministers, 31 Chief Secretary offices",240,0,31,completed,State Cabinet Ministers per state; 5 remaining UT Lt-Governors; fill Chief Secretary names,"Sources: Wikipedia current Governors + current Chief Ministers lists. Chain wired: Governor->President, CM->Governor, Chief Secretary->CM. 31 Chief Secretary names flagged pending (not fabricated)."
5,2026-06-26,daily_collect,Phase 3: 5 remaining UT administrators added + 3 existing UT Lt-Governors filled - all 36 states/UTs now complete,17,3,1,completed,Deputy CMs; constitutional/legislative/judicial heads; then state cabinet ministers,Source: Wikipedia current Lt-Governors/Administrators. A&N LG left pending (name not listed). All 28 states + 8 UTs represented.
6,2026-06-26,daily_collect,28 Deputy Chief Ministers (17 states + J&K) wired under their CMs,56,1,2,completed,Constitutional heads; then state cabinet ministers,Source: Wikipedia current Deputy CMs. Bihar (2 DyCMs + CM) flagged stale - source implies Apr 2026 govt change.
7,2026-06-26,daily_collect,"National constitutional/judicial/legislative heads: CJI, AG, CAG, CEC, Lok Sabha Speaker + 6 bodies; responsibility_map + topics expanded",26,0,2,completed,State cabinet ministers per state; ministry Secretaries; official contacts (use Chrome for JS-heavy .gov.in sites),"Sources: sci.gov.in, eci.gov.in, Wikipedia office-holders. Speaker (Om Birla) flagged pending re-verify."
8,2026-06-26,daily_collect,Top Union bureaucracy: Cabinet Secretary (T.V. Somanathan) + Principal Secretary & Principal Secretary-2 to PM,7,0,0,completed,State cabinet ministers per state; ministry Secretaries; district collectors; official contacts via Chrome,"Sources: Cabinet Secretary (Wikipedia), PMO officers list. Next big volume (state cabinets, districts, local bodies, contacts) is multi-run work for the daily job + Chrome."
9,2026-06-26,daily_collect,Phase 3B start: Uttar Pradesh full Council of Ministers (51 ministers - Cabinet + MoS-IC + MoS) wired under UP CM,153,0,0,completed,"Next state cabinet (Maharashtra), then remaining 26 states/UTs per the Phase 3B checklist","Source: Second Yogi Adityanath ministry (Wikipedia), current incumbents only. Per-state queue added to progress.md for the daily job to grind through 1-3 states per run."
10,2026-06-26,daily_collect,"Cleared ALL pending/stale: 36 Chief Secretaries named (+72 official email/phone contacts), Bihar govt change (Samrat Choudhary CM), Union Home Secretary, A&N Lt-Governor, Lok Sabha Speaker confirmed",120,8,0,completed,"State cabinets (Maharashtra next) per Phase 3B; then state departments, districts, local bodies, more contacts","Sources: SarkariTel chief secretaries directory, Wikipedia (Samrat Choudhary, Govind Mohan), A&N admin, PMO. 0 pending/stale records remain. 5 admin-UT Chief Secretary offices created."
